# x_shifted(Å)   v_internal(dx/dt_internal)
-0.2349275580 -0.2304468740
-0.2864653507 0.1721858454
-0.2883879875 -0.0001326232
-0.2006817115 -0.3078298386
-0.3044547000 -0.0365076201
-0.1812221703 0.0710609758
-0.3014074130 0.0083986081
-0.2380568700 -0.1520829089
-0.2990950903 -0.0943907566
-0.2185961717 0.0081546171
-0.2512810554 0.0384399299
-0.1898789684 -0.0017813761
-0.2609544909 -0.0256363505
-0.1600561873 0.1118677586
-0.2821109270 -0.2322383326
-0.2388290196 0.1190900351
-0.2584837420 -0.0608352343
-0.1177151241 0.0044814996
-0.2538438130 0.1002080473
-0.2083733117 0.0604594803
-0.2650512520 -0.0731148230
-0.1685564941 0.0038076927
-0.2832243374 0.0007358603
-0.2326994338 -0.0948247042
-0.1552545515 -0.0379159395
-0.1776523113 -0.0530772677
-0.3288640133 -0.2500040984
-0.2949189549 0.1690401322
-0.3148027804 -0.1269306640
-0.2681180835 -0.1314582973
-0.2855201545 -0.1307097623
-0.1700248000 -0.0408626219
-0.1769128105 -0.2172796257
-0.2160353611 -0.0110244376
-0.2397170053 0.0321050402
-0.3412033525 -0.1437787871
-0.3201812059 -0.2556098945
-0.2312022634 -0.2128711613
-0.1994355347 -0.0093227955
-0.2490704751 0.1740652870
-0.2478852935 -0.0576529578
-0.2430737880 0.0066565273
-0.3177506280 0.0120235607
-0.1970696043 -0.1789198431
-0.1585454449 -0.1339942126
-0.2688745405 0.1155968737
-0.2174043286 -0.0059881248
-0.3259840011 0.1982424648
-0.1989776236 0.0792174434
-0.2900561882 0.1611019349
