# x_shifted(Å)   v_internal(dx/dt_internal)
-0.1739288084 -0.1524683300
-0.2534068732 0.2076015869
-0.2101700948 0.1239790710
-0.2878691281 0.0016598090
-0.2369353317 0.3585889635
-0.1693326088 -0.0250385235
-0.2516287165 -0.0944024265
-0.2650316533 -0.2443648388
-0.2506573959 0.3562479357
-0.2686098064 0.0207848827
-0.3110416352 -0.1542059358
-0.2015995925 -0.0424914046
-0.2577789122 0.0585715022
-0.1879180049 0.0016232877
-0.2844876371 -0.1084746997
-0.2306609001 0.1045235957
-0.2956517010 -0.0405082187
-0.1985410708 0.0800343556
-0.1720391893 -0.0683327175
-0.1212359481 -0.0053628720
-0.2535212609 0.2100816836
-0.2079776935 0.0714163925
-0.2852657090 0.0517926519
-0.2169275689 -0.1167964329
-0.1651488753 -0.1023340292
-0.2913268045 -0.1701994824
-0.3205144401 -0.3008645670
-0.2368691284 -0.0184290794
-0.2615771157 -0.0427125983
-0.2275474940 -0.2094686798
-0.2376916576 0.0617787309
-0.1548102239 0.0506040656
-0.1470334430 -0.0628292009
-0.1774428651 -0.0334323885
-0.2325360877 0.0509634787
-0.3286841352 -0.2577027916
-0.3327451032 0.1279636604
-0.1874435946 -0.1131245360
-0.2434891482 -0.0163347680
-0.2923001677 0.1916810140
-0.2237909407 0.0011369699
-0.2732644591 -0.1335481000
-0.2749174341 -0.0866132107
-0.2200346019 0.1205795869
-0.2601311571 -0.1420579546
-0.2335379451 0.0830004084
-0.2844586489 -0.1263454128
-0.2630492798 -0.1554287127
-0.2424999951 -0.1249967322
-0.1685611571 0.0326868325
-0.1661555660 0.2911907879
-0.2402942710 -0.2185661676
-0.2827118617 0.0233043001
-0.2437857869 0.0946938707
-0.3198643305 -0.1224734222
-0.2844722864 -0.0601708436
-0.2678509816 0.1437307627
-0.2753847256 0.0131224044
-0.2155461518 -0.1038500749
-0.2581876988 -0.0813995651
-0.1973975342 0.0826457967
-0.2880170973 -0.1375303946
-0.1463632886 0.3016354849
-0.1674283919 -0.0062482842
-0.1435539102 0.0062151155
-0.2110669137 0.1749269360
-0.2373917358 0.0486212050
-0.2370502639 -0.0038276939
-0.1376984495 -0.3000133255
-0.2070176361 0.0057188718
-0.2582090017 0.3194345351
-0.2847046978 0.3475174838
-0.2007736777 -0.0376977179
-0.2547148624 -0.0947489233
-0.1779474956 -0.0720886191
-0.2635983766 0.2384984974
-0.1992753223 -0.2602759006
-0.2504331238 -0.1614034715
-0.2013260886 -0.0517362355
-0.2698193110 0.1209496560
-0.2497357457 0.0255977372
-0.1597046835 -0.1220987986
-0.3029870621 0.0869569619
-0.3178336865 0.0023853368
-0.2725495583 -0.3283345919
-0.1376608174 -0.0308696490
-0.1959322602 -0.0171280476
-0.2300250447 0.0242837048
-0.2300383208 -0.0373367755
-0.2852264242 -0.0156818465
-0.2923906053 0.1283011275
-0.3454365143 -0.1237621102
-0.2698700097 -0.0539604801
-0.1958988225 0.0526290821
-0.2591659659 -0.1417664965
-0.2118709578 0.0770609690
-0.2620192910 -0.1283275567
-0.2564530809 -0.0800647815
-0.2921114307 -0.0719956230
-0.1707652699 0.2783808814
-0.2398018156 -0.0172601405
-0.2603683264 0.1367887523
-0.2252689486 0.1233905105
-0.3159584304 -0.1107442508
-0.2340111513 -0.0384398717
-0.2147453433 0.0245506726
-0.1326005653 0.1312980025
-0.1712637517 0.0283282869
-0.2264877336 0.1231356558
-0.2282900927 -0.0318035319
-0.1979596275 0.0452346232
-0.2157158209 -0.0301765666
-0.2140597964 0.0604409990
-0.2442078276 0.0188103710
-0.1914053109 -0.0548535638
-0.3055593744 0.2265350198
-0.2405574275 0.0513919357
-0.2181787948 0.1914775647
-0.1819404602 0.1131267626
-0.2451366842 -0.0686348278
-0.2200867867 0.0228228138
-0.2661130033 0.0922272226
-0.2907623674 -0.1664142589
-0.2692402345 0.0762667857
-0.2065781830 -0.1744310861
-0.2789426725 -0.2434230477
-0.3273429536 -0.1824697172
-0.2269309798 0.1102559952
-0.1938813432 -0.0552431587
-0.1957138390 -0.0304315048
-0.2395175624 0.1246397674
-0.1915904176 0.0605286589
-0.2810428293 0.2851852420
-0.3255837827 -0.2848843310
-0.1784405680 -0.2461165076
-0.2169420822 -0.1038110150
-0.1313486980 -0.0027801726
-0.1515266793 -0.1156777937
-0.2499817979 0.0772236360
-0.2201100969 0.1147757286
-0.2377231571 -0.0294008556
-0.2433790497 -0.0995935331
-0.2627204317 -0.1360516028
-0.2494880330 0.0742349854
-0.1883519887 0.0912609711
-0.1747020393 0.1367656794
-0.1327866307 -0.0252173536
-0.2912014737 -0.1282954622
-0.2033238380 0.1503743734
-0.2987586004 -0.0860197146
-0.2283780477 0.2299902126
-0.2013020995 -0.1252044715
-0.2330708070 -0.1705761203
-0.1434388755 0.0243391625
-0.1733026742 -0.1667991590
-0.3104559017 -0.1918991416
-0.2971339125 -0.2918604908
-0.1770442562 -0.0126169497
-0.2860500121 -0.1899099310
-0.2443891316 0.1174936515
-0.1431612123 0.0983246041
-0.3023168502 -0.1368960031
-0.2602472877 -0.0559480865
-0.1629461341 -0.2740754818
-0.2889763227 -0.0346619328
-0.1883889373 -0.1500761052
-0.1563022676 -0.2573106838
-0.2384200189 0.0301320818
-0.1826638554 0.0236597966
-0.2630585308 0.1656134586
-0.2522696284 0.0493591887
-0.2866160554 0.1084166392
-0.2030260542 0.2840252550
-0.3026110379 -0.0171518146
-0.3070963226 0.1308327085
-0.2377238130 -0.1884652430
-0.1903309488 -0.2783554953
-0.3031936903 -0.0006970257
-0.2299088024 0.2304483065
-0.2434295737 0.0733956055
-0.2687291934 0.1641915895
-0.1486301961 -0.1072961687
-0.2628923987 -0.2730450520
-0.1922880061 0.1679862810
-0.2809207640 -0.0920656128
-0.2347006323 0.0679609308
-0.2076853185 0.0025999772
-0.2739648377 -0.1589584417
-0.2028890433 0.0072530252
-0.1781771456 -0.0186274981
-0.2969949396 0.2369998109
-0.1886044872 0.2522099318
-0.2797198394 0.1640180334
-0.2492619136 0.2287001535
-0.1182127045 -0.0190854011
-0.2604102938 0.0743142745
-0.1436208565 -0.0707553146
-0.2596136159 -0.3081650131
-0.1433218533 -0.0496853464
-0.2790878098 -0.0710325337
-0.1985873665 -0.0270303687
-0.2826360238 -0.0271524741
-0.1745231479 -0.0835053142
-0.2837660857 0.0882044147
-0.2650864463 -0.1716475850
-0.2832665523 0.0662305824
-0.2081959522 -0.2436067759
-0.2864852505 0.1579138808
-0.2398566533 -0.2306482744
-0.2385692849 0.0017262062
-0.2747037677 -0.1689791192
-0.2625045232 0.0717110957
-0.2032434720 -0.0502917748
-0.2587898119 -0.0585060555
-0.1345161032 -0.1824238311
-0.2061915153 -0.0330197066
-0.2237005466 0.1407299290
-0.1880476700 0.0851803376
-0.2422728908 0.0695400605
-0.2142320969 -0.0935503908
-0.2556123955 -0.1313602434
-0.3006618634 0.2258165690
-0.1594554876 0.0172316039
-0.1791328468 -0.0963683005
-0.2188560445 -0.0662504544
-0.2205315835 -0.1540929922
-0.1664034741 -0.0084141948
-0.3038389051 -0.0165735822
-0.1761427597 -0.0723675261
-0.2794797857 -0.0439703711
-0.1646920995 -0.0975980399
-0.1553978304 -0.0916650438
-0.1396431666 0.0722790660
-0.1714010406 -0.0414979825
-0.2457637551 0.0521657888
-0.2681376060 -0.0259856126
-0.2649123791 -0.2019277871
-0.2491310197 -0.1637077673
-0.1901179033 -0.0428987514
-0.2911881334 0.0510309745
-0.2687566052 -0.2484613144
-0.2241945157 0.0115040944
-0.2900456687 -0.1049663974
-0.3136400373 -0.0382561845
-0.1906919669 -0.0661068907
-0.1629889512 0.1563259604
-0.1233869736 -0.2078705978
-0.2075678885 -0.1856184362
-0.1689173289 -0.2035225095
-0.2187475103 -0.1385559240
-0.2558101959 0.0908075104
-0.2211341015 0.2095589199
-0.2192863975 0.1802203134
-0.2470452243 0.1828508221
-0.1786449293 0.1011939197
-0.1438420583 -0.2189599483
-0.2121814742 0.0197704610
-0.2100419602 0.2693715766
-0.2410379891 -0.1653441211
-0.2673057858 -0.1520064592
-0.1893244526 -0.0384790397
-0.2847623853 -0.1409944836
-0.1443106065 -0.3102310591
-0.2700072302 0.0937761062
-0.2471129913 0.0616231470
-0.2318566971 0.2089487857
-0.1995190782 -0.1731101228
-0.2737437718 -0.2003371466
-0.2015922876 -0.0355419054
-0.2285310210 -0.3010125479
-0.1812683728 -0.0735442296
-0.2410318422 -0.0000069763
-0.2591955008 -0.0260367128
-0.2736094206 0.2451881581
-0.1985370651 0.0363512146
-0.1921815465 0.0786605262
-0.2868092638 -0.0904016583
-0.2230118137 -0.1146176535
-0.2133244132 0.0957048287
-0.2376929587 -0.3706872263
-0.1618242894 -0.0612763264
-0.2440416014 0.0059571990
-0.2678119366 -0.1569163316
-0.2391298286 0.0576553112
-0.2138846410 0.1784643430
-0.2018766679 -0.0527854176
-0.2452924022 -0.2157055181
-0.2435235420 0.0577119310
-0.2150842014 0.0163461892
-0.2431715941 -0.2483063960
-0.2938196314 -0.1201400079
-0.2841247934 0.2137956393
-0.2543297049 0.1112442428
-0.2160081755 -0.0264598793
-0.2326029667 0.0967909022
-0.2210915429 -0.0596156789
-0.2350762099 -0.2015238741
-0.2565092897 0.2347547760
-0.2353842331 0.2421735791
-0.2506787092 0.1449578829
-0.2533192655 0.0260335324
-0.2139009706 0.0102306786
-0.1679147270 0.0146901882
-0.2070624272 -0.1167482340
-0.2930291257 0.1628850135
-0.1769950525 0.1365476082
-0.2486821451 -0.2317438477
-0.2199545063 0.2294599510
-0.2756221383 0.2459773632
-0.1859961099 0.0220206674
-0.1799302006 -0.0677527288
-0.2956218744 0.1053117445
-0.1891564146 0.0088760857
-0.1624215288 -0.2660034764
-0.3408118418 0.0574633683
-0.3119878702 -0.0614124098
-0.2124271150 -0.0686258529
-0.1586375635 0.1297974733
-0.2180915613 -0.0556113792
-0.2759593686 -0.1498475851
-0.3018280261 0.2418885329
-0.2058591865 0.0610226796
-0.2413763618 0.0918036702
-0.1764742187 -0.0477168474
-0.1962692590 -0.0592472625
-0.3293685914 0.0236076070
-0.2196963189 0.2125501423
-0.2189840865 -0.0726800058
-0.2828976957 -0.0572942447
-0.2290643406 0.1739978846
-0.1987868394 0.0452294322
-0.1900844283 -0.0832773972
-0.1666064865 -0.0612115106
-0.2744892291 -0.0619009081
-0.1387220273 -0.2473582506
-0.1486634162 -0.0321350874
-0.2298714930 -0.1967956891
-0.2741200696 0.0719211671
-0.2847443050 0.2529282671
-0.2178525133 0.3614810745
-0.1883096221 0.2394852317
-0.2339900198 -0.1105324500
-0.2025416087 -0.0188618454
-0.2064446268 -0.1007541638
-0.1891145908 0.0775310444
-0.2898232772 0.0486163372
-0.2698627486 -0.1322430524
-0.2208579971 0.0496541765
-0.2027541611 -0.1012093167
-0.2987158767 -0.2888038990
-0.2216422793 0.1554862102
-0.2807360913 -0.2726068436
-0.2719272875 -0.2308177683
-0.3036100125 0.2150980697
-0.2734396688 0.1642690476
-0.1959916544 -0.1535367139
-0.1229047953 0.1691881587
-0.1840116420 -0.0277484690
-0.2332560423 0.0861921827
-0.2198142579 0.1708588362
-0.2078701783 0.2537092292
-0.2198177056 0.0484930186
-0.2982015571 0.1222140257
-0.1765861561 0.1564587520
-0.1889518177 0.0576456126
-0.1635543850 -0.1976677486
-0.1461130300 -0.0203136381
-0.2912331639 0.1334064819
-0.2142804209 0.0183105920
-0.1844050619 -0.1693873636
-0.2408174935 -0.0836915094
-0.1902227751 -0.1006773821
-0.1421061186 -0.0493926445
-0.2473788605 -0.2811834475
-0.2666932580 -0.0953596294
-0.2091359021 -0.1217611229
-0.2754353218 -0.1446269651
-0.2066394094 -0.0105966794
-0.1628023979 -0.0110012337
-0.2208313761 0.3272475064
-0.3020354350 0.0469404037
-0.2883618447 -0.0555280576
-0.1673909328 -0.2751379537
-0.1252274964 0.0364606777
-0.3090237375 0.1052636999
-0.1576973367 0.1546850961
-0.1466824895 -0.0983689140
-0.3123003876 0.0138815504
-0.2399550692 -0.0071797997
-0.2231114347 -0.1953958863
-0.1438126104 0.0036021585
-0.2217368652 -0.3288418351
-0.2582210414 0.1265415185
-0.3056018996 0.0906552371
-0.2439770888 0.2763210042
-0.2166845955 0.0869668232
-0.2022075873 0.1958128029
-0.2364374616 -0.0094921270
-0.2484658934 0.0911063940
-0.2725785153 -0.0886488536
-0.2121928997 -0.2233002513
-0.2443716363 -0.2702223322
-0.1718206508 0.1165707689
-0.1826000967 0.2012907244
-0.1480370019 -0.0977652399
-0.2769864819 0.2506304496
-0.1300046289 0.0595804042
-0.1777340405 -0.1544175259
-0.3075144314 -0.0327108954
-0.2705055081 -0.0222567984
-0.2368441478 -0.0467055719
-0.1220196453 0.2566346923
-0.2467214913 0.0331297789
-0.2498591850 0.0206033569
-0.1253078770 0.0518157940
-0.2363050972 0.0981088650
-0.1601456649 0.0841462804
-0.2544921190 -0.0324483974
-0.2166790548 0.0968441943
-0.2723425081 -0.0554433051
-0.2167437330 0.0860801753
-0.3062153410 -0.2411876700
-0.1762615122 0.2206382736
-0.3366948796 -0.0355606160
-0.3082709451 0.0992064351
-0.2327652760 -0.0153811629
-0.2791952157 -0.0252916844
-0.2174824311 -0.0714155972
-0.2861546371 -0.1273318565
-0.1891376205 -0.1960330780
-0.2033330745 0.2766284888
-0.1822567167 0.0903874212
-0.3291502439 -0.0939977782
-0.1609734271 0.0900285390
-0.3495291121 0.0621742692
-0.2303621110 -0.2085338555
-0.2122086023 0.0878454064
-0.3117102270 0.1775540621
-0.2415293666 -0.0300149749
-0.2333563397 -0.0355892784
-0.2229238555 -0.0128288849
-0.1910165544 -0.2568714738
-0.2158489063 -0.1110374397
-0.2467795476 0.1908323930
-0.2281886908 0.0023345685
-0.2677497859 0.0111698917
-0.2385490108 -0.1222259654
-0.2455376707 0.0922333093
-0.1496836336 -0.0725627896
-0.2281217397 -0.1801650119
-0.2943042342 -0.0403972785
-0.2294779079 0.0909486966
-0.2426360585 -0.0161290936
-0.2872801392 -0.1967543778
-0.1870657963 0.0795068200
-0.2748866057 0.1240619633
-0.2465540869 0.1332665718
-0.1611004632 -0.0202167953
-0.1956532207 0.1194096824
-0.3384920041 0.1894509980
-0.2180863445 0.1007067377
-0.2732944701 -0.0612395421
-0.3353972081 0.2250834785
-0.2991987016 -0.0527966319
-0.2973279163 -0.1376319566
-0.1615675256 -0.0545900398
-0.2792857800 0.0915589154
-0.2462769187 0.0969435818
-0.2149801146 -0.1300913068
-0.1548247285 0.1130249194
-0.2320311961 0.0004397616
-0.1744752249 -0.2485910958
-0.1975121113 -0.0915288748
-0.2475160420 0.0993400719
-0.2694679836 0.0127337362
-0.2408927314 -0.1653453923
-0.1556671181 0.0133171657
-0.2146577547 0.0387098388
-0.2879905178 -0.0627703309
-0.2132362588 -0.2421225649
-0.1841976967 -0.0473962503
-0.1868300593 0.0696554417
-0.1953620448 -0.0150806858
-0.3050432242 0.1541914621
-0.2520161645 0.1278324917
-0.2278322798 0.0952766292
-0.3047368761 -0.1389124489
-0.2634779566 0.0043159187
-0.2203898863 -0.1257120160
-0.3247239645 -0.1172376976
-0.2024270495 -0.0038033194
-0.1913879753 0.2334658171
-0.2720806251 0.2768568915
-0.2642154118 -0.0213417104
-0.2106647711 0.0744726364
-0.2837996183 0.1298540842
-0.2657652715 -0.0075941193
-0.2208974329 0.0372548375
-0.2794624067 -0.1633089953
-0.1432135649 -0.1226531062
-0.2154242942 0.0466528308
-0.2177972626 0.2245196983
-0.2361278662 0.1564836199
-0.1464808440 0.2156822134
-0.2801569936 -0.1369474159
-0.2607068899 -0.1220422010
-0.2085189809 0.3689829736
-0.1860748651 -0.1143398357
-0.2585511283 -0.3463786237
-0.3160767075 0.1661012287
-0.1770669271 -0.2914707164
-0.1557234934 -0.1828843139
-0.2074619886 -0.1983199127
-0.3104568258 0.0138692381
-0.1992926197 -0.1763237773
-0.2579893245 -0.1616775511
-0.2214992020 -0.2963145433
-0.2340898296 -0.0346617837
-0.2612862840 -0.2408784343
-0.2821717285 0.0656705379
-0.2149734724 0.1242507537
-0.1523907251 0.0774358327
-0.3008699885 0.1131765569
-0.1619700326 0.1301892277
-0.2087735640 -0.0332933990
-0.2594090330 0.0458893553
-0.2268363310 -0.2254911088
-0.1493020800 0.0415387559
-0.2865643796 0.1772440784
-0.2855136054 0.1912989856
-0.2802444304 -0.0474958464
-0.2143687209 -0.2760961611
-0.1887008286 -0.3989390421
-0.2510271906 0.0341763444
-0.2930152789 -0.2588009109
-0.2921607989 -0.2415385608
-0.1579139635 -0.2007485465
-0.2583723990 0.0226338066
-0.2534305556 -0.2410561462
-0.2524766748 -0.0732509667
-0.2642400990 0.2840017661
-0.2778308694 -0.0584145702
-0.2568289143 0.2627718979
-0.2385479946 0.1038767261
-0.3045969206 0.0184100126
-0.2132954928 0.0300970939
-0.2690950106 -0.0175385203
-0.2671004185 -0.0658770944
-0.2340989004 -0.1402235659
-0.2396295881 -0.2501611079
-0.2043771028 0.0024241453
-0.2380804020 0.1583154582
-0.2255958797 -0.0331836842
-0.2492218766 -0.0086222051
-0.2370101556 0.0356222537
-0.1594263752 -0.2434806965
-0.2932537409 -0.2014652102
-0.2520954649 -0.1208493730
-0.2137445158 -0.0527056689
-0.1988653529 -0.0365764720
-0.1930636196 -0.2460803576
-0.1594082021 -0.0642567273
-0.2408226221 -0.1393203400
-0.2419918840 0.2176067104
-0.2732054316 0.2063044740
-0.2508083791 0.1236081923
-0.2538810427 0.3079185468
-0.1339644264 0.0832684380
-0.2798620954 -0.0352578699
-0.2323013488 0.2186733000
-0.2708768151 -0.0880116846
-0.2026808474 -0.0527731619
-0.2567367945 0.2579974451
-0.3089912654 0.0420259909
-0.2164650810 -0.0767171187
-0.2414756001 0.1762565576
-0.2197828519 -0.0735398919
-0.2930101242 0.2106276246
-0.2633066938 0.1666422289
-0.1865522210 0.0860750419
-0.1827892607 -0.0399965507
-0.2346167822 -0.0183743698
-0.2641325619 0.1669715325
-0.2561836634 -0.1675018529
-0.2290902327 -0.2224035855
-0.1980573288 -0.1876981877
-0.3106747444 0.2361041542
-0.2964301003 -0.0384381472
-0.2656212583 -0.2126874306
-0.1756209829 -0.1575973361
-0.1722585486 0.0235052761
-0.1956162835 -0.0521409617
-0.1602104189 0.2153028749
-0.1312827438 0.1571731653
-0.2855743395 -0.0485773650
-0.2524012675 0.1861211586
-0.1266424133 -0.0108537204
-0.1697184219 0.0528357396
-0.2421693526 -0.0597965393
-0.3327827903 0.1977348596
-0.3289361511 0.0783780004
-0.2018997201 0.0193833107
-0.2733944484 0.1250047690
-0.2798391511 0.1421333411
-0.2689364850 0.0369129046
-0.2776078788 -0.1651167314
-0.2778047341 -0.2297035723
-0.1687506717 0.0792457661
-0.1755921281 -0.2087821519
-0.2466282563 -0.2145987190
-0.3113892567 0.0755195992
-0.1455821823 0.1716897044
-0.1643558322 0.2316402326
-0.1895430739 -0.2575240193
-0.2314033906 -0.2389187836
-0.2694555628 -0.1625806712
-0.2315113366 0.1042946484
-0.2459756748 -0.1969612308
-0.1835127848 -0.0311376938
-0.2944135273 -0.0276880640
-0.2006297971 0.0904317719
-0.2613492286 0.1195383499
-0.2141058285 0.2910132680
-0.2412867527 0.0732658275
-0.1956741865 -0.1565069266
-0.1452533440 -0.0735323959
-0.1474878741 -0.1387238149
-0.2548189918 0.1555295587
-0.2109435198 0.1028681355
-0.1975875985 -0.0171863319
-0.1877559510 0.0941360042
-0.2332217632 -0.0036119926
-0.1860603257 0.2526184626
-0.2047051822 -0.2477862943
-0.2916087117 -0.1165135206
-0.2746052683 0.0555009068
-0.2420103473 -0.0636878625
-0.1358053212 0.2314222574
-0.2615714258 0.0119357671
-0.2000874352 0.1505812956
-0.1784566249 -0.0111825460
-0.2256687929 -0.2729952104
-0.2290426479 0.0383761155
-0.2565181614 -0.0442541032
-0.1810314516 -0.1956226508
-0.2301640371 -0.1889911751
-0.2039646535 0.1936334027
-0.1683457655 0.0304423746
-0.2240590872 0.1720130639
-0.2787714681 0.0400065010
-0.3065991562 0.0458707564
-0.2090038467 0.1424164138
-0.1830785068 0.1283919904
-0.2054440770 -0.2471267203
-0.2624828510 0.0417124717
-0.1339622897 -0.1437609209
-0.2854978922 0.0382003398
-0.1923082657 -0.2065270191
-0.1827768150 -0.2269378800
